Ranking,Country,Cost of living
1,Switzerland,117.3
2,Iceland,87.7
3,Jersey,82.6
4,Norway,82.2
5,Denmark,79.2
6,Guernsey,71.8
7,Luxembourg,71.7
8,Ireland,70.4
9,France,69.1
10,Austria,68.7
11,Finland,68.7
12,Netherlands,67.5
13,Germany,66
14,Belgium,65.8
15,United Kingdom,63.6
16,Isle Of Man,62.5
17,Italy,61
18,Sweden,60.9
19,Malta,59.4
20,Estonia,55.9
21,Greece,53.2
22,Czech Republic,52.8
23,Slovenia,51.6
24,Latvia,51
25,Lithuania,49.9
26,Spain,49.9
27,Hungary,48
28,Slovakia,47.5
29,Croatia,47.4
30,Portugal,46.1
31,Poland,44.7
32,Montenegro,42.4
33,Serbia,40.5
34,Albania,40.4
35,Bulgaria,40.3
36,Romania,38.4
37,Bosnia And Herzegovina,36.7
38,Belarus,36.3
39,Moldova,35.9
40,North Macedonia,32.5
41,Russia,32.1
42,Ukraine,30.7
43,Kosovo (Disputed Territory),29.5
